opp,dateStart,dateEnd
OPP.00:001,1900-10-15,1900-10-31
OPP.00:007,1900-10-15,1900-12-15
OPP.00:023,1900-10-15,1900-12-15
OPP.00:031,1900-06-21,1900-09-21
OPP.00:033,1900-01-01,1900-03-19
OPP.00:036,1900-06-21,1900-06-21
OPP.00:045,1900-01-01,1900-03-20
OPP.00:046,1900-06-21,1900-09-21
OPP.00:058,1900-10-01,1900-10-15
OPP.00:068,1900-10-15,1900-12-20
OPP.00:069,1900-10-15,1900-12-20
OPP.00:070,1900-10-15,1900-12-15
OPP.00:101,1900-10-15,1900-12-15
OPP.00:120,1900-03-20,1900-09-21
OPP.00:131,1900-10-15,1900-12-20
OPP.00:134,1900-10-15,1900-12-20
OPP.00:147,1900-10-01,1900-10-15
OPP.00:148,1900-10-01,1900-12-31
OPP.00:156,1900-06-21,1900-09-21
OPP.00:204,1900-01-01,1900-03-19
OPP.00:246,1900-09-22,1901-12-20
OPP.00:268,1900-06-21,1900-09-21
OPP.00:279,1900-10-01,1900-10-15
OPP.00:280,1900-01-01,1900-03-19
OPP.00:317,1900-06-15,1900-06-15
OPP.00:338,1900-09-22,1900-12-20
OPP.00:341,1900-09-22,1900-10-15
OPP.00:377,1900-06-15,1901-06-15
OPP.01:001,1901-05-20,1901-09-21
OPP.01:002,1901-10-31,1901-12-31
OPP.01:003,1901-06-01,1901-06-15
OPP.01:004,1901-05-20,1901-09-21
OPP.01:005,1901-05-20,1901-06-20
OPP.01:006,1901-05-20,1901-06-20
OPP.01:007,1901-10-31,1901-12-31
OPP.01:008,1901-09-01,1901-10-31
OPP.01:009,1901-09-01,1901-10-31
OPP.01:010,1901-09-01,1901-10-31
OPP.01:012,1901-09-22,1902-03-19
OPP.01:016,1901-05-20,1901-09-21
OPP.01:018,1901-05-20,1901-06-20
OPP.01:019,1901-05-20,1901-06-20
OPP.01:020,1901-05-20,1901-09-21
OPP.01:023,1901-05-20,1901-06-20
OPP.01:024,1901-04-01,1901-04-30
OPP.01:025,1901-05-20,1901-06-20
OPP.01:026,1901-05-20,1901-06-20
OPP.01:027,1901-09-01,1901-10-31
OPP.01:028,1901-09-22,1902-03-19
OPP.01:029,1901-05-20,1901-06-20
OPP.01:030,1901-02-01,1901-04-30
OPP.01:031,1901-02-01,1901-04-30
OPP.01:032,1901-09-22,1901-12-20
OPP.01:033,1901-05-20,1901-06-20
OPP.01:034,1901-02-01,1901-04-30
OPP.01:035,1901-05-20,1901-09-21
OPP.01:036,1901-09-22,1902-03-19
OPP.01:037,1901-05-20,1901-06-20
OPP.01:038,1901-09-22,1902-03-19
OPP.01:039,1901-05-20,1901-06-20
OPP.01:040,1901-09-22,1902-03-19
OPP.01:041,1901-09-22,1902-03-19
OPP.01:043,1901-09-01,1901-10-31
OPP.01:044,1901-10-01,1901-10-31
OPP.01:045,1901-09-01,1901-10-31
OPP.01:046,1901-09-01,1901-10-31
OPP.01:047,1901-09-22,1901-12-20
OPP.01:048,1901-04-20,1901-05-15
OPP.01:049,1901-05-20,1901-06-20
OPP.01:053,1901-09-22,1902-03-19
OPP.01:055,1901-05-20,1901-06-20
OPP.01:056,1901-02-01,1901-04-30
OPP.01:058,1901-09-22,1901-12-20
OPP.01:059,1901-09-22,1902-03-19
OPP.01:063,1901-05-20,1901-06-20
OPP.01:065,1901-05-20,1901-09-21
OPP.01:067,1901-05-20,1901-06-20
OPP.01:068,1901-04-20,1901-05-15
OPP.01:069,1901-09-22,1902-03-19
OPP.01:070,1901-07-14,1901-07-14
OPP.01:074,1901-05-20,1901-06-20
OPP.01:077,1901-05-20,1901-06-20
OPP.01:078,1901-05-20,1901-06-20
OPP.01:079,1901-06-21,1901-08-15
OPP.01:080,1901-05-20,1901-06-20
OPP.01:081,1901-09-22,1901-12-20
OPP.01:082,1901-05-20,1901-06-20
OPP.01:083,1901-05-20,1901-06-20
OPP.01:090,1901-05-20,1901-09-21
OPP.01:093,1901-09-22,1901-12-20
OPP.01:094,1901-09-22,1902-03-19
OPP.01:108,1901-04-20,1901-05-15
OPP.01:111,1901-05-20,1901-09-21
OPP.01:112,1901-05-20,1901-06-20
OPP.01:116,1901-02-01,1901-04-30
OPP.01:120,1901-04-25,1901-05-15
OPP.01:121,1901-04-20,1901-05-15
OPP.01:122,1901-05-20,1901-06-20
OPP.01:125,1901-04-20,1901-06-30
OPP.01:126,1901-05-20,1901-06-20
OPP.01:128,1901-05-20,1901-09-21
OPP.01:129,1901-05-20,1901-09-21
OPP.01:132,1901-05-20,1901-06-20
OPP.01:133,1901-04-25,1901-05-15
OPP.01:138,1901-09-22,1901-12-20
OPP.01:142,1901-05-20,1901-09-21
OPP.01:143,1901-05-20,1901-06-20
OPP.01:145,1901-12-21,1902-03-19
OPP.01:147,1901-02-01,1901-04-30
OPP.01:150,1901-02-01,1901-04-30
